name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,1,0.0008399999999999519,0.0,,0.9991111111111112,0.0,0.945,1.0,True,,0.0,21.0
,2,0.020021999999999984,0.0,,0.9952666666666666,0.0,4.23,1.0,True,,1.0,94.0
,3,0.014053000000000093,0.0,,0.993444420083315,0.0,2.14367,1.0,True,,2.0,47.0
,4,0.002897999999999984,0.0,,0.9908,0.0,0.315,1.0,True,,3.0,7.0
,5,0.015410999999999953,0.0,,0.9823773584905661,0.0,0.8745,1.0,True,,4.0,11.0
,8,0.002610000000000001,0.0,,0.998,0.0,1.305,1.0,True,,5.0,29.0
,9,0.026023618730664194,0.0,,0.9636287648767796,0.0,0.7155,1.0,True,,6.0,9.0
,10,0.0,0.0,,1.0,0.0,0.13682999999999998,1.0,True,,7.0,3.0
,11,0.0012720000000000231,0.0,,0.9973333333333333,0.0,0.477,1.0,True,,8.0,6.0
,12,0.0012349999999999861,0.0,,0.9979171234378426,0.0,0.59293,1.0,True,,9.0,13.0
,13,0.0019039999999999613,0.0,,0.9970181977636484,0.0,0.63854,1.0,True,,10.0,14.0
