name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car,eta_d,eta_c
,1,0.00994000000000006,0.0,,0.9894814814814814,0.0,0.945,1.0,True,,0.0,21.0,0.95,0.9
,2,0.0027644877876555896,0.0,,0.9993464567877883,0.0,4.23,1.0,True,,1.0,94.0,0.95,0.9
,3,0.02449222222222236,0.0,,0.9885746303198616,0.0,2.14367,1.0,True,,2.0,47.0,0.95,0.9
,4,0.0029322192900128052,0.0,,0.9906913673332927,0.0,0.315,1.0,True,,3.0,7.0,0.95,0.9
,5,0.005683333333332152,0.0,,0.9935010482180306,0.0,0.8745,1.0,True,,4.0,11.0,0.95,0.9
,8,0.017128252968416025,0.0,,0.9868749019399111,0.0,1.305,1.0,True,,5.0,29.0,0.95,0.9
,9,0.003959693110071716,0.0,,0.9944658377217725,0.0,0.7155,1.0,True,,6.0,9.0,0.95,0.9
,10,0.0024833333333333096,0.0,,0.9818509586104414,0.0,0.13682999999999998,1.0,True,,7.0,3.0,0.95,0.9
,11,0.0010400000414916843,0.0,,0.9978197064119672,0.0,0.477,1.0,True,,8.0,6.0,0.95,0.9
,12,0.008839971270000135,0.0,,0.9850910372725277,0.0,0.59293,1.0,True,,9.0,13.0,0.95,0.9
,13,0.00032674789139996996,0.0,,0.9994882890791493,0.0,0.63854,1.0,True,,10.0,14.0,0.95,0.9
