0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
3,4,5,17,,,,,,,,,,,,,,,,,,,,,,,
2,3,8,17,20.0,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,
8,11,20,21,22.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,
1,23,30,31,32.0,33.0,34.0,,,,,,,,,,,,,,,,,,,,
11,23,29,30,31.0,32.0,33.0,34.0,56.0,,,,,,,,,,,,,,,,,,
3,5,8,11,17.0,30.0,31.0,32.0,33.0,34.0,35.0,39.0,56.0,,,,,,,,,,,,,,
1,2,32,33,34.0,35.0,45.0,46.0,47.0,,,,,,,,,,,,,,,,,,
2,5,7,8,11.0,17.0,21.0,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,48.0,49.0,55.0,56.0,,,,,
1,3,4,5,11.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,56.0,,,,,,,,,,
5,21,22,23,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,,,,,,,,
1,2,3,4,8.0,17.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,55.0,56.0
2,3,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,,,,
1,2,5,7,11.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,46.0,55.0,56.0,,,,,,,,,
1,2,7,8,20.0,21.0,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0,,,
3,7,21,22,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,48.0,49.0,55.0,56.0,,,,,,
1,3,5,7,17.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,
5,7,8,30,31.0,32.0,33.0,34.0,56.0,,,,,,,,,,,,,,,,,,
7,8,23,24,29.0,30.0,31.0,32.0,,,,,,,,,,,,,,,,,,,
8,17,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,45.0,46.0,47.0,55.0,56.0,,,,,,,,,,,
1,3,5,8,17.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,
3,8,17,20,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,,
2,5,17,23,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,55.0,56.0,,,,,,,,,,,
3,11,17,23,24.0,29.0,30.0,31.0,32.0,33.0,34.0,49.0,56.0,,,,,,,,,,,,,,
3,4,11,17,20.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,55.0,56.0,
