name,bus,p_mw,q_mvar,sn_mva,soc_percent,min_e_mwh,max_e_mwh,scaling,in_service,type,evid,n_car
,0,-0.023818562224507345,0.0,,0.9843763384951486,0.0,2.475,1.0,True,,0.0,55.0
,1,-0.0018580619573593145,0.0,,0.8847365780936347,0.0,0.135,1.0,True,,1.0,3.0
,2,-0.06037728086689709,0.0,,0.9437128566869175,0.0,1.87001,1.0,True,,2.0,41.0
,4,0.007596763464175191,0.0,,0.9722359204515815,0.0,0.585,1.0,True,,3.0,13.0
,5,-0.02970363596454262,0.0,,0.9230182581191543,0.0,5.9625,1.0,True,,4.0,75.0
,7,-0.10594674606621257,0.0,,0.9483041857679685,0.0,6.75,1.0,True,,5.0,150.0
,8,0.1646264596402645,0.0,,0.8711138270845952,0.0,9.6195,1.0,True,,6.0,121.0
,9,0.009356614291667939,0.0,,0.8990287844405522,0.0,0.22805,1.0,True,,7.0,5.0
,11,0.7417432801941433,0.0,,0.9922482868790065,0.0,29.9715,1.0,True,,8.0,377.0
,12,0.013640979179725787,0.0,,0.964115482934695,0.0,0.82098,1.0,True,,9.0,18.0
,13,-0.0009626726439773969,0.0,,0.9508893386450834,0.0,0.4561,1.0,True,,10.0,10.0
,14,0.005086330077171408,0.0,,0.9751124503388999,0.0,1.408,1.0,True,,11.0,22.0
,15,0.04706952000000003,0.0,,1.0,0.0,1.96123,1.0,True,,12.0,43.0
,16,-0.04051609118700027,0.0,,0.9809270494095981,0.0,2.688,1.0,True,,13.0,42.0
,17,0.041762108727943933,0.0,,0.9939124044661614,0.0,1.23147,1.0,True,,14.0,27.0
,18,0.003327554469332099,0.0,,0.9591485516246823,0.0,0.135,1.0,True,,15.0,3.0
,19,-0.003640375325679777,0.0,,0.9678095677681267,0.0,0.128,1.0,True,,16.0,2.0
,22,-0.003720495121479029,0.0,,0.9572203884389665,0.0,0.27,1.0,True,,17.0,6.0
,24,-0.011696911976337434,0.0,,0.9476781037913429,0.0,0.27,1.0,True,,18.0,6.0
,26,0.009360358241200448,0.0,,0.8283619956572851,0.0,0.405,1.0,True,,19.0,9.0
,27,0.004300477727890013,0.0,,0.9935487411245703,0.0,0.256,1.0,True,,20.0,4.0
,28,-0.009771921844452587,0.0,,0.9562684541870841,0.0,1.088,1.0,True,,21.0,17.0
,29,-0.00034422558859348133,0.0,,0.9634842827699079,0.0,0.13682999999999998,1.0,True,,22.0,3.0
,30,0.008102022901177407,0.0,,0.9691324475501317,0.0,0.3975,1.0,True,,23.0,5.0
,31,-0.002015297251939774,0.0,,0.865900349032204,0.0,0.0795,1.0,True,,24.0,1.0
,32,0.0047809278398752205,0.0,,0.6909406405019017,0.0,0.13682999999999998,1.0,True,,25.0,3.0
,34,-0.0014607313022017496,0.0,,0.9444376702259921,0.0,0.477,1.0,True,,26.0,6.0
,37,-0.01675218954134354,0.0,,0.9776986167642914,0.0,1.113,1.0,True,,27.0,14.0
,40,-0.002102989388089248,0.0,,0.9585653205141809,0.0,0.27365999999999996,1.0,True,,28.0,6.0
,41,-0.0034365273538238955,0.0,,0.9537362973225675,0.0,0.31927,1.0,True,,29.0,7.0
,42,0.0029171260297298374,0.0,,0.9824125114414427,0.0,0.09,1.0,True,,30.0,2.0
,43,0.0015431687736511407,0.0,,0.9720093343406915,0.0,0.768,1.0,True,,31.0,12.0
,46,0.09918750941157342,0.0,,0.8552392336160201,0.0,1.3226900000000001,1.0,True,,32.0,29.0
,48,0.0019264779265970033,0.0,,0.8621722898668378,0.0,1.152,1.0,True,,33.0,18.0
,49,0.012646130467951294,0.0,,0.7584093232648447,0.0,1.344,1.0,True,,34.0,21.0
,50,0.030933648347854614,0.0,,0.9606168052745315,0.0,1.431,1.0,True,,35.0,18.0
,51,-0.002841348845064628,0.0,,0.9489647286385298,0.0,0.18,1.0,True,,36.0,4.0
,52,-0.03615886145506058,0.0,,0.9495085777012199,0.0,1.59,1.0,True,,37.0,20.0
,53,-0.007035485994815827,0.0,,0.2420176328327507,0.0,0.256,1.0,True,,38.0,4.0
,54,-0.0007978066116571432,0.0,,0.8255451606975661,0.0,0.27,1.0,True,,39.0,6.0
,55,-0.003984713051517142,0.0,,0.9612693001174019,0.0,0.31927,1.0,True,,40.0,7.0
,56,0.016854072761535648,0.0,,0.9223908144831658,0.0,0.384,1.0,True,,41.0,6.0
