0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,23,30,31.0,32.0,33.0,34.0,35.0,46.0,,,,,,,,,,,,,,,
2,3,4,5.0,56.0,,,,,,,,,,,,,,,,,,,
2,8,56,,,,,,,,,,,,,,,,,,,,,
8,33,34,56.0,,,,,,,,,,,,,,,,,,,,
3,4,8,11.0,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,56.0,,,,,,,,,
1,22,23,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,48.0,49.0,,,,,,,,,,
11,33,34,49.0,55.0,56.0,,,,,,,,,,,,,,,,,,
8,11,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,55.0,56.0,,,,,
1,5,17,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,,,
1,20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0
1,2,7,30.0,31.0,32.0,33.0,34.0,35.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,
3,5,17,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,55.0,56.0,,,
2,3,11,17.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,
2,20,21,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,49.0,,,,
2,8,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,41.0,55.0,56.0,,,,,,,,,,
1,2,3,4.0,8.0,17.0,31.0,32.0,33.0,34.0,56.0,,,,,,,,,,,,,
7,23,29,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,,,,,,,,,,,
1,3,5,7.0,8.0,17.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,
3,4,33,34.0,35.0,36.0,38.0,39.0,46.0,47.0,56.0,,,,,,,,,,,,,
3,8,17,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,,,,,,,,,,,,
1,3,5,11.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,,,,,,,,,
3,7,31,32.0,33.0,,,,,,,,,,,,,,,,,,,
3,8,17,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,56.0,,,,,,,,,,,,
3,5,17,,,,,,,,,,,,,,,,,,,,,
