0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,2,7,8,11,33.0,34.0,35.0,36.0,38.0,39.0,46.0,47.0,49.0,,,,,,,,,,,,,,
2,3,5,17,21,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,55.0,56.0,,,,,,,,,,
1,2,7,11,29,30.0,31.0,32.0,33.0,34.0,,,,,,,,,,,,,,,,,,
1,3,4,5,11,21.0,22.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,,,,,
3,5,17,30,31,32.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,
2,7,30,31,32,33.0,34.0,35.0,56.0,,,,,,,,,,,,,,,,,,,
1,2,3,17,33,41.0,55.0,56.0,,,,,,,,,,,,,,,,,,,,
1,8,20,21,22,23.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,45.0,46.0,47.0,48.0,49.0,56.0,,,,,,
3,7,8,9,11,23.0,29.0,30.0,31.0,32.0,33.0,34.0,55.0,56.0,,,,,,,,,,,,,,
11,23,29,30,31,32.0,33.0,,,,,,,,,,,,,,,,,,,,,
3,4,11,17,29,30.0,31.0,32.0,41.0,55.0,56.0,,,,,,,,,,,,,,,,,
1,5,11,23,24,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,,,,,,,,,,,,,
2,3,4,5,7,17.0,21.0,22.0,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,
2,5,7,8,11,17.0,30.0,31.0,32.0,33.0,34.0,35.0,39.0,,,,,,,,,,,,,,,
1,3,11,17,30,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,56.0,,,,,,,,,,,,,,
2,5,7,11,20,21.0,22.0,23.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,43.0,45.0,46.0,47.0,48.0,49.0,55.0,56.0
5,7,9,31,32,,,,,,,,,,,,,,,,,,,,,,,
3,5,20,21,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,46.0,47.0,48.0,49.0,56.0,,,,,
31,32,33,34,56,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,5,11,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,56.0,,,,,,,,,
2,8,31,32,33,34.0,56.0,,,,,,,,,,,,,,,,,,,,,
2,3,17,24,29,30.0,31.0,32.0,33.0,34.0,35.0,39.0,49.0,55.0,56.0,,,,,,,,,,,,,
23,24,29,30,31,32.0,33.0,34.0,35.0,36.0,38.0,39.0,49.0,55.0,56.0,,,,,,,,,,,,,
2,5,20,21,22,23.0,24.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,41.0,46.0,47.0,49.0,55.0,56.0,,,,
